dataset,binarization,secret_bits,rep_factor,pair_type,enroll_subject,query_subject,enroll_sample,query_sample,hamming_distance,hamming_ratio_pct,errors_corrected,hash_matched,auth_status
Fingerprint_dataset_60,Median,64,32,imposter,3,32,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,33,1,1,632,30.86,632,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,34,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,35,1,1,692,33.79,688,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,36,1,1,660,32.23,660,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,37,1,1,684,33.4,680,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,38,1,1,602,29.39,602,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,39,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,40,1,1,590,28.81,590,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,41,1,1,590,28.81,590,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,42,1,1,638,31.15,638,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,43,1,1,604,29.49,604,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,44,1,1,666,32.52,660,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,45,1,1,584,28.52,584,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,46,1,1,664,32.42,660,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,47,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,48,1,1,608,29.69,608,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,49,1,1,636,31.05,632,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,50,1,1,646,31.54,646,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,51,1,1,682,33.3,678,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,52,1,1,590,28.81,590,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,53,1,1,538,26.27,538,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,54,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,55,1,1,622,30.37,622,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,56,1,1,694,33.89,694,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,57,1,1,582,28.42,582,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,58,1,1,540,26.37,540,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,59,1,1,640,31.25,640,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,60,1,1,628,30.66,628,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,1,1,1,548,26.76,546,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,2,1,1,620,30.27,618,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,3,1,1,600,29.3,600,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,5,1,1,524,25.59,524,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,6,1,1,618,30.18,610,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,7,1,1,540,26.37,540,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,8,1,1,624,30.47,620,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,9,1,1,558,27.25,558,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,10,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,11,1,1,556,27.15,556,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,12,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,13,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,14,1,1,564,27.54,564,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,15,1,1,648,31.64,648,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,16,1,1,568,27.73,568,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,17,1,1,602,29.39,602,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,18,1,1,558,27.25,558,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,19,1,1,540,26.37,540,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,20,1,1,638,31.15,638,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,21,1,1,616,30.08,616,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,22,1,1,576,28.12,576,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,23,1,1,582,28.42,582,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,24,1,1,610,29.79,608,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,25,1,1,654,31.93,652,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,26,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,27,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,28,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,29,1,1,572,27.93,572,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,30,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,31,1,1,534,26.07,534,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,32,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,33,1,1,524,25.59,524,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,34,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,35,1,1,684,33.4,680,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,36,1,1,666,32.52,666,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,37,1,1,570,27.83,570,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,38,1,1,502,24.51,502,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,39,1,1,1024,50.0,886,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,4,40,1,1,514,25.1,514,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,41,1,1,570,27.83,570,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,4,42,1,1,612,29.88,612,True,ACCEPT
